"Variable","Chi_squared","df","p_value"
"facit_f_FS",20.327,7,0.004905
"hads_a_total_score",14.766,7,0.03911
"hads_d_total_score",14.532,7,0.04249
"psqi_total_score",14.102,7,0.0494
