"Variable","Chi_squared","df","p_value"
"pvt_reaction_time",47.606,7,4.252e-08
"nback_miss_1",32.027,7,4.015e-05
"nback_miss_2",31.39,7,5.268e-05
"tmt_a_time",39.628,7,1.483e-06
"tmt_b_time",34.993,7,1.122e-05
"tmt_diff",19.229,7,0.007498
