"Variable","KW_Chi2","df","p_value","Epsilon2","Significant_Comparisons"
"pvt_reaction_time",47.03,3,"<0.001",15.68,"1 - 2, 1 - 3, 2 - 4, 3 - 4"
"nback_miss_1",22.67,3,"<0.001",7.56,"1 - 2, 2 - 4"
"nback_miss_2",27.64,3,"<0.001",9.21,"1 - 2, 2 - 3, 2 - 4"
"tmt_a_time",38.85,3,"<0.001",12.95,"1 - 2, 2 - 3, 2 - 4"
"tmt_b_time",34.86,3,"<0.001",11.62,"1 - 3, 2 - 3, 1 - 4, 2 - 4"
"tmt_diff",17.65,3,"<0.001",5.88,"1 - 3, 1 - 4, 2 - 4"
